Size	200000	100
Bacillus subtilis	12	0.89
Cryptococcus neoformans	2	0.00089
Enterococcus faecalis	12	0.00089
Escherichia coli	12	0.089
Lactobacillus fermentum	12	0.0089
Listeria monocytogenes	12	89.1
Pseudomonas aeruginosa	12	8.9
Saccharomyces cerevisiae	2	0.89
Salmonella enterica	12	0.089
Staphylococcus aureus	12	0.000089
